timestamp,transaction_id,from_user,to_user,amount,transaction_type,is_fraud
2025-03-18 09:33:05,99ce0032-db9a-4a2a-a63c-1d31a12b6e81,USER01052,USER01018,16997.53,TRANSFER,1
2025-03-17 19:02:00,cacad572-95c5-42b5-8a46-a7761cbc7dc4,USER01004,USER01065,18610.21,PAYMENT,0
2025-03-18 08:57:27,32afb436-693b-485f-97bc-170b056569ed,USER01038,USER01086,17497.43,DEPOSIT,0
2025-03-18 01:00:07,e091ec2b-893c-4432-a471-a790ee576824,USER01004,USER01094,182.78,TRANSFER,0
2025-03-17 18:04:08,f144d56b-6bef-4602-8e30-3d3adb567f4d,USER01015,USER01069,3855.4,TRANSFER,0
2025-03-17 19:25:23,be2731ae-fb8d-4a96-93fe-46bc065d46c1,USER01061,USER01027,19523.76,DEPOSIT,1
2025-03-18 12:11:50,f6144422-a480-4a9a-bdf9-8e0f2254243b,USER01040,USER01008,13114.23,TRANSFER,0
2025-03-18 13:18:26,aade5c82-132c-4e49-9347-fc64c35c96bc,USER01029,USER01062,19866.33,TRANSFER,0
2025-03-18 08:31:34,4ff5a841-f584-4178-bf83-4cb734a66582,USER01050,USER01079,11521.32,DEPOSIT,0
2025-03-17 18:30:08,028a9c23-a2da-4e60-8b55-f7124bef9602,USER01017,USER01091,9882.97,PAYMENT,0
2025-03-18 06:04:11,c69e9fb0-6678-4793-953d-a05bf999987f,USER01044,USER01065,905.61,PAYMENT,0
2025-03-18 03:37:12,f9d5a180-70f6-4f95-afb6-baf1f8413aeb,USER01038,USER01039,5218.14,PAYMENT,0
2025-03-18 13:03:30,3de4b630-66b1-48b7-ab0e-ddedffbc095a,USER01022,USER01049,11084.43,PAYMENT,0
2025-03-18 08:14:19,fb7ff6ea-545a-4f41-acb6-4b152e6ff112,USER01036,USER01003,16668.83,TRANSFER,1
2025-03-17 20:55:55,3e0aac7e-90b1-4e25-b804-143dd6f23710,USER01053,USER01002,16146.97,TRANSFER,0
2025-03-18 12:09:48,53e080dc-66e2-4bc6-a398-8803df7fbda4,USER01040,USER01097,18549.31,DEPOSIT,1
2025-03-18 13:04:36,daf9b751-3a52-4422-a371-03896ec19681,USER01017,USER01022,13921.19,TRANSFER,0
2025-03-18 12:30:07,ea9b3e43-52cb-4edd-aa23-480bbf5498e6,USER01063,USER01086,14228.88,PAYMENT,0
2025-03-17 21:44:00,efee67e9-b1b3-4e70-831d-d50bac42ba55,USER01078,USER01030,14697.08,PAYMENT,0
2025-03-18 09:37:21,5e4d135b-ce5f-44be-8632-c2e8afcc3926,USER01085,USER01005,11717.53,TRANSFER,0
2025-03-18 13:31:09,572c34f2-fb84-4158-9f0c-a9cd89acbfdb,USER01052,USER01060,5768.74,CASH_OUT,0
2025-03-18 11:15:43,5ad94655-5239-43d0-a003-e0c556ab725e,USER01089,USER01017,1705.38,TRANSFER,0
2025-03-18 02:51:28,6ff5ccd1-1601-4503-8e04-52932e931426,USER01054,USER01002,8490.44,CASH_OUT,0
2025-03-18 09:03:56,c53f11cd-b0ae-4a14-9c7d-3b650ffb8006,USER01057,USER01093,5600.31,DEPOSIT,0
2025-03-18 12:02:10,5b7842ac-93a8-4aff-acf6-788c0ffcca77,USER01092,USER01046,18527.29,CASH_OUT,0
2025-03-17 21:03:40,c2d4d477-f34e-489e-bcb6-14f845189274,USER01049,USER01066,14024.18,TRANSFER,0
2025-03-18 03:59:56,cd25c1fd-1c7d-44aa-9343-e8f01d490ea6,USER01029,USER01050,14049.5,DEPOSIT,0
2025-03-18 17:21:14,2b28fd20-77b2-433c-822e-bbac374deaa6,USER01058,USER01089,12445.33,CASH_OUT,0
2025-03-18 11:23:28,beb61b7f-2536-4adf-b11e-1519c7b8e952,USER01068,USER01070,13231.18,TRANSFER,0
2025-03-18 03:27:31,2000845a-e70d-4a18-84d3-260a4e131d87,USER01022,USER01031,15611.61,DEPOSIT,0
2025-03-18 10:49:47,b4d3f8f2-b534-477b-9496-9e47003d07e8,USER01046,USER01020,16758.79,CASH_OUT,0
2025-03-18 00:13:19,4b394093-d7c7-4f86-9d7f-dcaac27fc802,USER01030,USER01078,19275.26,TRANSFER,0
2025-03-18 06:51:07,65d888e3-b226-4188-8ad9-3d6f8da21f59,USER01061,USER01011,4864.96,PAYMENT,0
2025-03-17 17:57:10,9e368dfe-7298-4893-9f32-07a415707a51,USER01011,USER01027,16074.19,PAYMENT,0
2025-03-18 02:28:34,0bf576dd-85d9-4bdc-affa-f2e4ad9817c6,USER01064,USER01055,18492.53,PAYMENT,1
2025-03-18 14:01:15,570c6968-bc3f-476a-9303-ccd2ff983dbe,USER01086,USER01048,5960.89,PAYMENT,0
2025-03-18 08:16:28,b47eea7c-44ac-4a89-87bf-fed8dfe580d8,USER01073,USER01012,10468.24,DEPOSIT,0
2025-03-18 07:03:34,856e41de-7fa8-4c47-b29b-30681ce37fe0,USER01058,USER01078,17714.05,DEPOSIT,0
2025-03-17 22:24:25,110f47a1-b78e-4e89-9c9a-c062f1d8406a,USER01020,USER01088,3750.75,CASH_OUT,0
2025-03-17 21:07:34,91e11b91-4e4a-46c3-aa31-a13018c040a9,USER01070,USER01022,16221.92,PAYMENT,0
2025-03-18 02:17:56,64077348-59f9-435a-84ed-62533411b1cd,USER01095,USER01009,9708.25,CASH_OUT,0
2025-03-17 19:40:33,d9c49de9-71db-4d0b-a09f-753aef8fda48,USER01014,USER01020,16791.2,CASH_OUT,0
2025-03-18 11:32:50,d8907f53-10e3-4231-92e1-c999e9a6cd59,USER01005,USER01053,9274.5,TRANSFER,0
2025-03-18 04:26:44,07249966-d49e-4903-be50-64d90e565b3b,USER01029,USER01077,77.26,PAYMENT,0
2025-03-18 08:43:48,8ddbbfde-bdde-4970-9d79-1a1ed9055735,USER01078,USER01021,10295.03,DEPOSIT,0
2025-03-18 06:02:08,13407684-7db0-408c-9749-6509a1f2c413,USER01072,USER01047,9270.46,CASH_OUT,0
2025-03-18 02:55:21,cf29d3ff-3e2e-48a8-9a80-6812071d0aa6,USER01013,USER01093,9980.45,PAYMENT,0
2025-03-18 01:55:10,c296a40b-962d-4bd2-90e8-4269bbce55d9,USER01050,USER01018,8486.57,CASH_OUT,0
2025-03-18 05:05:34,0986311c-e7ba-4e0b-99aa-cc131e3df63b,USER01096,USER01054,19149.0,TRANSFER,0
2025-03-18 15:44:16,c1023b56-6d2e-4e57-b6ba-a7ef5bd5ee14,USER01086,USER01037,18018.74,CASH_OUT,1
2025-03-18 09:28:25,1ec81d60-3a8a-4fb0-af8e-62abd52a0c9f,USER01065,USER01081,19136.35,PAYMENT,1
2025-03-17 22:51:42,a757250d-da5e-4408-af89-1a35e6733d29,USER01060,USER01007,17579.46,TRANSFER,0
2025-03-17 19:12:52,f52d0657-4d63-41bd-b2b1-47f7b4b4784b,USER01026,USER01010,6495.28,PAYMENT,0
2025-03-18 03:53:46,be148665-f6e9-46aa-8e5a-785e777766ac,USER01071,USER01056,10658.42,TRANSFER,0
2025-03-18 05:47:12,a286b168-5b1a-4d08-9eaf-b4140adb4d1b,USER01075,USER01089,3877.21,CASH_OUT,0
2025-03-18 00:54:31,ad07e7bb-6b18-4e8c-a52e-89c0f9420901,USER01017,USER01064,1464.34,PAYMENT,0
2025-03-17 22:21:44,e4fd3c35-ea73-4c32-9e3b-6e24c03b7751,USER01091,USER01041,15978.81,CASH_OUT,0
2025-03-17 22:41:04,b82150b4-0bbe-4c99-bc79-84d957ee5434,USER01082,USER01050,5485.04,CASH_OUT,0
2025-03-18 05:54:19,2345d61c-0924-4e60-8fc8-2167f23e9436,USER01038,USER01009,9932.96,DEPOSIT,0
2025-03-18 17:29:06,01fd42a3-c5a0-4e4a-887c-e2e16184e981,USER01025,USER01021,19392.92,TRANSFER,1
2025-03-18 02:38:01,9a820507-f379-46c7-8e89-d440772cdc49,USER01086,USER01076,19401.68,TRANSFER,1
2025-03-18 15:10:34,7596da1e-7fef-46be-aefc-9bd1b734e0e1,USER01045,USER01065,1477.19,DEPOSIT,0
2025-03-17 21:32:06,d772fbf0-e138-4c89-be11-082d6a006601,USER01055,USER01091,4676.85,DEPOSIT,0
2025-03-17 18:15:17,65586a7d-1728-40d9-90d0-5bf8b8c9c70b,USER01090,USER01077,18255.93,PAYMENT,0
2025-03-18 04:00:14,afaa6587-1140-461d-835f-def24008950a,USER01027,USER01085,8740.75,DEPOSIT,0
2025-03-18 07:32:40,ea0b8a13-3696-406f-85c4-1f48f7b9a7f0,USER01011,USER01072,15402.45,DEPOSIT,0
2025-03-18 02:50:08,74e5eddc-fb83-4f4d-98b1-8cdb0677e5a4,USER01028,USER01013,15642.85,DEPOSIT,0
2025-03-17 23:39:47,68ef53ca-82c3-402c-a69b-075da0b1607d,USER01042,USER01026,10007.25,DEPOSIT,0
2025-03-18 06:28:22,957a1cae-f2ab-4c05-8d71-87bf1e467d51,USER01076,USER01018,9978.88,TRANSFER,0
2025-03-17 21:56:37,644458fa-82d1-468d-b4ef-a85ff4a2c258,USER01076,USER01085,15380.97,CASH_OUT,1
2025-03-18 04:21:26,35199c3e-2774-4172-abbb-10061ce02388,USER01003,USER01039,1812.65,TRANSFER,0
2025-03-18 09:31:49,b3ef0ba3-e58f-4d9f-9d02-f875315ced74,USER01034,USER01041,7764.28,TRANSFER,0
2025-03-18 12:24:12,dd9acb02-eb14-4900-a333-008a9ca5a976,USER01005,USER01099,9271.31,DEPOSIT,0
2025-03-18 07:54:12,b9a8e3c3-c27e-439d-acd0-15028f413012,USER01087,USER01000,1337.1,DEPOSIT,0
2025-03-18 11:03:46,a3e9295c-41d9-44d9-a528-96d0e1f35e22,USER01057,USER01035,16926.77,PAYMENT,1
2025-03-17 20:26:36,65284d97-83c7-40f2-ae43-17a8ad12095f,USER01029,USER01086,17671.98,PAYMENT,1
2025-03-18 09:50:35,971b41cd-eea1-48ba-9f51-40a148efbabc,USER01067,USER01076,13335.84,PAYMENT,0
2025-03-18 04:30:12,5746d523-75e3-4b99-9c91-09dae668cd6f,USER01088,USER01096,4068.27,PAYMENT,0
2025-03-18 15:52:25,25f53f11-3754-4c53-acb5-28ced8675a80,USER01002,USER01059,18715.55,DEPOSIT,1
2025-03-18 00:19:08,f850d8c2-2aa6-44e2-a1fe-14f39b0cc896,USER01060,USER01046,13333.28,PAYMENT,0
2025-03-17 20:06:58,c0eb0ac5-acdd-4eb1-9987-5303dd3a2d10,USER01031,USER01033,2421.68,CASH_OUT,0
2025-03-18 07:08:13,f99a6faf-3ea5-44c1-a8f2-16edf162455c,USER01000,USER01054,2855.96,CASH_OUT,0
2025-03-18 07:21:55,9d172393-b58f-4d82-8931-9a95cdd02453,USER01081,USER01014,13571.47,DEPOSIT,0
2025-03-18 05:14:34,1ad35efe-0060-41d6-9fc1-a61b0c6aba91,USER01055,USER01006,13804.43,PAYMENT,0
2025-03-17 18:00:08,56bc749d-32aa-47a0-81e4-a14c3c327db4,USER01095,USER01037,17832.2,DEPOSIT,0
2025-03-17 20:04:55,963cc561-4136-4a5a-b51c-7c06b1095355,USER01047,USER01098,8338.53,PAYMENT,0
2025-03-18 13:55:09,71a51a6e-e663-4a61-a125-d3c701b3f1b6,USER01074,USER01053,12051.35,DEPOSIT,0
2025-03-18 12:29:27,8e582458-1d4c-493a-acf6-b12d5ce12414,USER01012,USER01015,8334.5,CASH_OUT,0
2025-03-18 06:01:19,2ddecd6e-06c6-4254-b294-f8cc7dc5fc34,USER01031,USER01022,12146.13,DEPOSIT,0
2025-03-17 22:04:56,bcca4704-2f32-4cf9-8566-7d703c182d5f,USER01025,USER01040,19737.98,TRANSFER,1
2025-03-18 14:49:43,4e185b79-808e-44ff-932a-6c63b09fba3a,USER01060,USER01029,9382.79,TRANSFER,0
2025-03-17 23:08:49,16ba9e06-f62b-4d53-878a-0b60f1f3aac1,USER01023,USER01036,17690.72,CASH_OUT,0
2025-03-18 02:35:59,bd41be21-ab1c-4d32-959c-b8e3eeca4bbf,USER01063,USER01052,12283.36,DEPOSIT,0
2025-03-17 23:35:51,d3faf266-23b9-46b3-a0b0-e1804368fa9b,USER01039,USER01007,15813.41,DEPOSIT,1
2025-03-18 05:02:31,3b215086-9a8f-477b-ab93-acf3c6534bf4,USER01041,USER01005,19321.88,CASH_OUT,0
2025-03-18 08:27:01,989b2093-2c05-4267-852c-b11ee9d72312,USER01000,USER01072,5177.35,CASH_OUT,0
2025-03-17 18:00:14,ff092cea-57d7-4486-8315-a75311cd8b76,USER01014,USER01089,2183.84,PAYMENT,0
2025-03-18 13:11:55,7966bd58-a627-4f72-abc0-3a5da92b84e6,USER01046,USER01047,6914.29,TRANSFER,0
2025-03-18 12:01:52,af4b2171-091b-42b2-8a64-28b37cec4941,USER01084,USER01046,4239.18,CASH_OUT,0
2025-03-18 16:28:09,83f9867c-779b-4962-aa2c-655d7d58e320,USER01083,USER01072,17605.76,DEPOSIT,1
2025-03-18 07:49:45,ca51ce1b-99df-453f-8a2e-99f1984a2270,USER01046,USER01090,897.54,DEPOSIT,0
2025-03-17 21:56:01,6bea52c7-5801-49eb-89c8-2226b4089fb5,USER01097,USER01010,4745.98,TRANSFER,0
2025-03-17 21:47:24,9d5b6349-67df-4a9d-b8a3-520c1a66c372,USER01091,USER01035,8176.16,CASH_OUT,0
2025-03-18 01:19:09,4591e8c4-2548-483b-821a-1d1b525f73b8,USER01055,USER01096,5937.13,TRANSFER,0
2025-03-18 12:55:10,89e313fb-0d78-4b40-8b0d-04aefec90bb8,USER01004,USER01099,14500.49,TRANSFER,0
2025-03-18 09:30:37,c1e2b868-dc4e-4a17-8c41-1db31e3994ee,USER01005,USER01071,2283.87,TRANSFER,0
2025-03-17 20:52:20,64a712ba-b289-4ec5-a454-ce7c356e3c85,USER01092,USER01033,15669.94,DEPOSIT,1
2025-03-18 15:19:34,216d2458-2427-4229-b6dd-52d359d9a81e,USER01036,USER01068,4084.55,TRANSFER,0
2025-03-18 01:50:43,f4e2ba53-d333-492a-bfb5-0a0fa39f3a5d,USER01060,USER01004,11786.86,DEPOSIT,0
2025-03-17 19:15:45,e37a1587-3e8f-482b-a283-e9b20a6592ef,USER01001,USER01085,4054.58,DEPOSIT,0
2025-03-18 01:02:48,b9d3699d-b3ab-4782-95b7-bb6ece085498,USER01016,USER01012,16451.85,TRANSFER,1
2025-03-18 13:55:55,fdf6979b-6666-4eb1-85fc-88403473c786,USER01095,USER01075,15513.11,TRANSFER,1
2025-03-17 22:39:41,f16453c3-e58f-4392-8204-4a7e59844ac6,USER01032,USER01088,13288.77,DEPOSIT,0
2025-03-18 08:21:20,ac1f2be6-177c-42d7-8856-e819d80e2011,USER01002,USER01049,5749.15,DEPOSIT,0
2025-03-18 08:27:05,1d7fcaa1-eb4f-49ff-bb86-1ea6f02708d4,USER01071,USER01048,3844.21,DEPOSIT,0
2025-03-17 22:55:14,099d860b-b20f-4a17-a280-bb8fc583d8a4,USER01099,USER01089,12483.02,DEPOSIT,0
2025-03-17 21:35:06,86fc75c2-0ef5-4fe7-a5b5-ec17082c14a1,USER01040,USER01033,9707.69,DEPOSIT,0
2025-03-18 06:59:32,0908676f-10e3-46a0-bff1-92c1cb087004,USER01037,USER01014,1548.93,DEPOSIT,0
2025-03-18 10:48:45,c35b506d-1805-4507-b6ec-a088cac876cf,USER01027,USER01039,2285.68,DEPOSIT,0
2025-03-18 17:06:16,56624554-c553-44dc-a72f-531edf417cbc,USER01077,USER01058,18522.7,PAYMENT,0
2025-03-18 08:38:00,2d15213c-bb3d-469b-9d2d-eee275701da3,USER01034,USER01085,19612.27,CASH_OUT,0
2025-03-18 06:52:54,d66f272c-50f3-4c12-96ff-9355ace2b47a,USER01064,USER01036,14892.03,PAYMENT,0
